店舗名,店舗住所,業種
かね㐂回転寿司 つくば梅園店 ,つくば市 稲荷前13-7,飲食 / ファーストフード
燦食 かつや 茨城つくば店,つくば市 下広岡1055-504,飲食 / ファーストフード
かね㐂回転寿司 つくば桜店 ,つくば市 桜1-23-7,飲食 / ファーストフード
Sakhana 地中海のごはんとおやつ Sakhana,つくば市 上郷 2761-3,飲食 / ファーストフード
あずきや工房 ,つくば市 大曽根 2999-1,飲食 / ファーストフード
eco mart YOU'sUP ,つくば市 二の宮 1丁目2番地2,飲食 / ファーストフード
ピザーラ つくば中央店,つくば市天久保 1-12-22,飲食 / ファーストフード
フレスタプラス@あらの珈琲 フレスタプラスあらの珈琲,つくば市 4丁目4−2 並木ショッピングセンター105,飲食 / 飲食店・喫茶店
金の馬結 台湾めしと四川麻婆豆腐の専門店 金の馬結,つくば市 つくば市 天久保2-15-7 金の馬結,飲食 / 飲食店・喫茶店
Cafe&Bar TIMELESS ,つくば市 みどりの中央 11-3,飲食 / 飲食店・喫茶店
DoDo みどりの店,つくば市 みどりの中央 11-3 ウイングマルシェ・みどりの104,飲食 / 飲食店・喫茶店
コーギーバンズバーガー ,つくば市 みどりの中央11ー3 ウィングマルシェみどりの207,飲食 / 飲食店・喫茶店
北京老飯店 みどりの店,つくば市 みどりの中央11-3 ウィングマルシェ・みどりの104,飲食 / 飲食店・喫茶店
クレシータ クレシータ,つくば市 みどりの中央29-5,飲食 / 飲食店・喫茶店
ジャパンウェルネス 国総研売店,つくば市 旭1番地 国土交通省国土技術政策総合研究所内売店 ジャパンウェルネス(株),飲食 / 飲食店・喫茶店
チムニー チムニーギオット稲荷前店,つくば市 稲荷前 27-2,飲食 / 飲食店・喫茶店
レストラン ミルフルール ,つくば市 栗原 3893-2,飲食 / 飲食店・喫茶店
焼菓子の店ハシバミ 焼き菓子の店 ハシバミ,つくば市 小野崎 591-1,飲食 / 飲食店・喫茶店
パンさんの店 テイクアウト専門店 パンさんの店,つくば市 松代2-1-7,飲食 / 飲食店・喫茶店
麺房 あんよん ,つくば市 榎戸 438番地31,飲食 / 飲食店・喫茶店
